article_id,classification,story_id,score,edges,jaccard,title
6c80977b-ace7-4d2a-a9cd-c2bce5cbb62b,WAIT,,,,,Boston cop goes viral with keepy-uppies display that had kilt-wearing Scottish fans losing
5b405969-29a3-47c0-b57e-3113174ca28b,NEW,,,,,Monsoon activity remains low in Andhra Pradesh due to El Niño conditions
2aa9fd4f-073c-4eb6-a060-759cec2420b4,WAIT,,,,,കുടുംബത്തിലെ സ്ത്രീകളെ സ്ട്രീമിങ്ങിലൂടെ മോശമായി ചിത്രീകരിച്ചു; യൂടൂബർക്കെതിരെ ആഭ്യന്തര മന്
2893afff-b012-4a40-9da3-b00b1899e436,WAIT,,,,,Fire destroys Asokwa shop as GNFS prevents spread to nearby buildings
f917c3f8-7acb-4254-8b9d-24c994cb5261,NEW,,,,,100% எத்தனால் எரிபொருள் பயன்பாட்டுக்கு மத்திய அரசு ஒப்புதல் - நிதின் கட்கரி அறிவிப்பு
4a3036f8-baf3-469c-8dc6-3aecd752bfb5,WAIT,,,,,
fed7bd5f-4c76-4a95-984a-9bea928e7a00,NEW,,,,,"Litchfield blitz, Wareham strikes as Australia thrash South Africa in T20 World Cup opener"
eb9a3a4b-d26f-4caf-80c1-caf0a43ddd82,NEW,,,,,Ben Shelton Matches Jannik Sinner’s 2026 ATP Record With Stuttgart Open Title Victory Over
3c5ae4fb-e95c-4e28-87ff-219caeeb86e4,NEW,,,,,Fewer hoesiks? 1 in 4 citizens say they don&apos;t binge drink at all
2b4da4a6-180a-4960-bf66-c6ebdb927fd6,NEW,,,,,Russian scholar praises Vietnam’s bridge role in Southeast Asia
328ebbc2-2733-49d0-987b-4ebaf7218697,WAIT,,,,,
1f889a44-fba8-4cbb-aee0-2cbe028f4e22,WAIT,,,,,
6bf8f3f6-a7c2-47c4-8439-ff6ea2b35431,WAIT,,,,,
a0b9c0ab-636a-4bef-8060-713ae447d741,WAIT,,,,,
7929cce5-fe55-410a-8521-91822bdc18d0,WAIT,,,,,
b6852e1a-db92-4297-9a38-2c749dd9cd28,WAIT,,,,,Strait of Hormuz still eerily quiet as doubts remain over ‘fragile’ peace deal
b74d387b-3278-4f63-8289-bc1097c43ce3,WAIT,,,,,
aa643885-c6a1-48cc-a350-7d68f19101ab,WAIT,,,,,Great Nicobar Island Project at the centre of debate as experts highlight strategic promis
